,geo_enabled,default_profile_image,default_profile,statuses_count,protected,verified,description,following,followers_count,friends_count,favourites_count,favouriteses_count,listed_count,url_count,location,notifications,updated,time_diffs_count,statu,label
0,1.0,1.0,1.0,44,0.0,0.0,0,0,8,38,0,0,44,0,1,1,1.0,0,54.0,0
1,1.0,1.0,1.0,85,0.0,0.0,0,0,2,45,0,0,85,0,1,1,1.0,0,72.0,0
2,1.0,1.0,1.0,67,0.0,0.0,0,0,8,42,0,0,67,0,1,1,1.0,0,62.0,0
3,1.0,1.0,1.0,70,0.0,0.0,100,0,0,0,0,0,70,0,1,0,1.0,0,874.0,0
4,1.0,1.0,1.0,44,0.0,0.0,0,0,5,25,0,0,44,0,1,1,1.0,0,59.0,0
5,1.0,1.0,1.0,59,0.0,0.0,0,0,11,34,0,0,59,0,1,1,1.0,0,74.0,0
6,1.0,1.0,1.0,45,0.0,0.0,0,0,4,41,0,0,45,0,1,1,1.0,0,56.0,0
7,0.0,1.0,0.0,1002,0.0,0.0,86,0,302,275,1075,1075,1002,2,1,0,1.0,0,1446.0,1
8,1.0,1.0,1.0,24163,0.0,0.0,9,0,435,320,676,676,24163,1,1,1,1.0,0,1075.0,1
9,0.0,1.0,0.0,2439,0.0,0.0,61,0,148,396,95,95,2439,0,0,1,1.0,0,940.0,1
10,1.0,1.0,1.0,41,0.0,0.0,0,0,6,41,0,0,41,0,1,1,1.0,0,55.0,0
11,0.0,1.0,0.0,194,0.0,0.0,151,0,82,220,1,1,194,0,0,0,1.0,0,1511.0,1
12,1.0,1.0,1.0,64,0.0,0.0,0,0,2,48,0,0,64,0,1,1,1.0,0,73.0,0
13,1.0,1.0,1.0,69,0.0,0.0,0,0,3,47,0,0,69,0,1,1,1.0,0,74.0,0
14,1.0,1.0,1.0,50,0.0,0.0,0,0,8,40,0,0,50,0,1,1,1.0,0,73.0,0
15,1.0,1.0,1.0,10682,0.0,0.0,83,0,872,1505,0,0,10682,11,0,1,1.0,0,1203.0,0
16,0.0,1.0,1.0,21105,1.0,0.0,91,0,415,481,248,248,21105,1,1,0,1.0,0,1704.0,1
